temp,atemp,hum,windspeed,casual,registered,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,cnt
0.62,0.5455,0.94,0.1343,11,64,fall,2011,September,23,0,Monday,1,Clear,75
0.28,0.2576,0.41,0.2985,15,99,winter,2012,December,17,0,Saturday,0,Clear,114
0.46,0.4545,0.82,0.0896,4,105,fall,2011,October,6,0,Tuesday,1,Clear,109
0.82,0.7727,0.52,0.1343,77,223,summer,2012,July,21,0,Friday,1,Clear,300
0.7,0.6667,0.74,0.1343,1,15,summer,2012,July,2,0,Tuesday,1,Clear,16
0.54,0.5152,0.94,0.1343,42,115,spring,2011,May,20,0,Saturday,0,Light Snow,157
0.12,0.1061,0.33,0.3284,3,9,winter,2011,February,23,0,Tuesday,1,Clear,12
0.58,0.5455,0.46,0.2836,7,193,summer,2012,June,6,0,Wednesday,1,Clear,200
0.26,0.2273,0.48,0.3284,13,105,winter,2012,December,10,0,Saturday,0,Clear,118
0.58,0.5455,0.56,0.0,30,195,fall,2011,September,21,0,Thursday,1,Clear,225
0.16,0.1364,0.74,0.2836,9,120,winter,2012,January,10,0,Sunday,0,Mist,129
0.56,0.5303,0.46,0.1642,12,514,winter,2012,February,18,0,Wednesday,1,Clear,526
0.62,0.5909,0.78,0.2537,30,144,spring,2012,May,10,0,Tuesday,1,Clear,174
0.5,0.4848,0.88,0.194,26,361,spring,2011,May,8,0,Friday,1,Mist,387
0.32,0.2879,0.57,0.3881,8,71,winter,2011,February,11,0,Thursday,1,Mist,79
0.2,0.1667,0.86,0.4627,0,10,winter,2012,December,11,0,Wednesday,1,Light Snow,10
0.32,0.3333,0.57,0.1343,38,159,winter,2011,December,12,0,Friday,1,Clear,197
0.52,0.5,0.88,0.1642,39,359,spring,2011,May,18,0,Friday,1,Light Snow,398
0.22,0.2121,0.55,0.2239,0,48,winter,2011,January,21,0,Thursday,1,Mist,48
0.7,0.6364,0.37,0.4478,58,127,spring,2011,June,15,0,Monday,1,Clear,185
0.02,0.0606,0.62,0.1343,1,4,winter,2011,January,3,0,Sunday,0,Clear,5
0.7,0.6364,0.45,0.1642,191,253,spring,2011,May,18,0,Saturday,0,Mist,444
0.68,0.6364,0.41,0.2239,76,270,fall,2012,October,15,0,Tuesday,1,Clear,346
0.68,0.6364,0.44,0.3582,129,260,spring,2012,May,18,0,Sunday,0,Mist,389
0.28,0.2727,0.45,0.1642,5,63,winter,2011,January,11,0,Thursday,1,Mist,68
0.2,0.2576,0.51,0.0,0,6,winter,2012,December,5,0,Sunday,0,Clear,6
0.32,0.303,0.22,0.2239,15,65,spring,2011,March,14,0,Monday,1,Clear,80
0.44,0.4394,0.82,0.0896,1,120,winter,2012,March,6,0,Wednesday,1,Clear,121
0.32,0.303,0.49,0.2537,1,58,fall,2012,November,7,0,Saturday,0,Mist,59
0.44,0.4394,0.88,0.0896,104,217,winter,2012,March,9,0,Saturday,0,Mist,321
0.36,0.3788,0.87,0.0,85,116,spring,2011,April,15,0,Saturday,0,Mist,201
0.38,0.3939,0.4,0.4478,21,411,winter,2012,February,17,0,Tuesday,1,Clear,432
0.66,0.6212,0.61,0.2537,18,103,spring,2011,June,10,0,Thursday,1,Mist,121
0.32,0.303,0.49,0.2239,24,148,fall,2012,December,11,0,Wednesday,1,Mist,172
0.72,0.6667,0.54,0.194,7,10,summer,2011,August,1,0,Wednesday,1,Clear,17
0.8,0.697,0.29,0.2985,78,510,summer,2011,June,18,0,Wednesday,1,Clear,588
0.7,0.6515,0.54,0.194,56,515,summer,2011,September,18,0,Monday,1,Clear,571
0.54,0.5152,0.83,0.2836,0,2,spring,2011,May,3,0,Tuesday,1,Clear,2
0.7,0.6364,0.42,0.194,32,151,summer,2011,June,22,0,Wednesday,1,Clear,183
0.46,0.4545,0.94,0.1045,4,6,fall,2011,November,2,0,Wednesday,1,Mist,10
0.4,0.4091,0.87,0.1045,1,8,fall,2011,October,1,0,Tuesday,1,Mist,9
0.78,0.697,0.46,0.1343,104,201,summer,2012,August,15,0,Thursday,1,Clear,305
0.62,0.5909,0.78,0.1343,28,233,spring,2012,May,21,0,Tuesday,1,Clear,261
0.4,0.4091,0.5,0.0,17,575,spring,2012,April,8,0,Friday,1,Clear,592
0.54,0.5152,0.77,0.1642,1,25,spring,2012,May,5,0,Monday,1,Mist,26
0.42,0.4242,0.71,0.4478,1,7,fall,2012,December,1,0,Tuesday,1,Clear,8
0.4,0.4091,0.54,0.194,24,103,winter,2011,February,18,0,Sunday,0,Clear,127
0.22,0.2121,0.41,0.2985,4,46,spring,2011,March,6,0,Tuesday,1,Clear,50
0.54,0.5152,0.88,0.2836,3,21,summer,2011,September,14,0,Tuesday,1,Light Snow,24
0.66,0.6212,0.74,0.1045,13,41,summer,2011,August,0,0,Friday,1,Clear,54
0.58,0.5455,0.88,0.3284,31,413,spring,2011,April,8,0,Wednesday,1,Mist,444
0.6,0.5455,0.88,0.2537,10,248,summer,2011,August,7,0,Monday,1,Clear,258
0.62,0.6212,0.43,0.0896,51,170,spring,2012,March,16,0,Wednesday,1,Light Snow,221
0.62,0.6212,0.33,0.2985,308,370,spring,2012,April,13,0,Saturday,0,Clear,678
0.72,0.6667,0.54,0.194,57,231,fall,2012,October,12,0,Thursday,1,Mist,288
0.6,0.5,1.0,0.194,3,11,summer,2011,September,0,0,Thursday,1,Light Snow,14
0.6,0.5606,0.83,0.2537,5,119,summer,2011,September,6,0,Thursday,1,Mist,124
0.56,0.5303,0.35,0.2985,29,117,winter,2011,February,16,0,Thursday,1,Mist,146
0.36,0.3485,0.93,0.1343,21,66,spring,2011,April,22,0,Saturday,0,Mist,87
0.7,0.6667,0.74,0.0,48,354,summer,2012,August,9,0,Tuesday,1,Mist,402
0.56,0.5303,0.88,0.1045,4,5,spring,2011,May,1,0,Monday,1,Clear,9
0.66,0.6212,0.61,0.1045,66,216,summer,2012,August,12,0,Monday,1,Mist,282
0.38,0.3939,0.46,0.2239,0,11,spring,2012,April,1,0,Tuesday,1,Clear,11
0.72,0.6667,0.54,0.0,37,150,summer,2011,June,9,0,Monday,1,Mist,187
0.64,0.6212,0.36,0.4179,46,189,summer,2012,June,11,0,Tuesday,1,Clear,235
0.48,0.4697,0.59,0.4179,4,18,spring,2012,April,2,0,Friday,1,Clear,22
0.82,0.803,0.59,0.2239,39,115,summer,2011,July,21,0,Saturday,0,Clear,154
0.54,0.5152,0.6,0.2239,12,89,fall,2012,September,1,0,Saturday,0,Clear,101
0.64,0.6212,0.38,0.4478,101,733,spring,2012,June,17,0,Monday,1,Clear,834
0.6,0.5152,0.94,0.0,27,79,fall,2011,September,2,0,Sunday,0,Light Snow,106
0.54,0.5152,0.49,0.1343,73,237,fall,2012,October,13,0,Wednesday,1,Mist,310
0.42,0.4242,0.62,0.194,82,323,fall,2012,October,13,1,Monday,0,Mist,405
0.28,0.2727,0.48,0.194,8,129,fall,2011,November,20,0,Friday,1,Clear,137
0.84,0.803,0.53,0.0,40,299,summer,2012,July,9,0,Tuesday,1,Clear,339
0.6,0.5455,0.88,0.1343,1,22,spring,2012,June,22,0,Friday,1,Light Snow,23
0.72,0.6818,0.7,0.2985,76,240,spring,2012,June,13,0,Friday,1,Clear,316
0.3,0.3333,0.45,0.0,26,100,winter,2011,February,11,0,Saturday,0,Clear,126
0.68,0.6364,0.65,0.0,75,171,summer,2012,September,10,0,Friday,1,Mist,246
0.8,0.7576,0.55,0.3881,67,462,summer,2011,June,17,0,Wednesday,1,Mist,529
0.28,0.2727,0.65,0.194,10,23,spring,2011,April,6,0,Sunday,0,Clear,33
0.62,0.6061,0.61,0.2239,29,291,summer,2011,June,7,0,Thursday,1,Clear,320
0.24,0.2273,0.41,0.194,1,5,winter,2012,February,4,0,Sunday,0,Clear,6
0.52,0.5,0.68,0.2836,2,4,spring,2012,May,3,0,Tuesday,1,Mist,6
0.52,0.5,0.77,0.0896,29,198,fall,2011,October,9,0,Tuesday,1,Mist,227
0.28,0.2879,0.61,0.1343,2,14,fall,2012,November,6,0,Sunday,0,Clear,16
0.64,0.5758,0.89,0.1045,32,551,spring,2012,May,8,0,Friday,1,Mist,583
0.48,0.4697,0.44,0.0896,41,271,spring,2011,March,18,0,Tuesday,1,Clear,312
0.76,0.697,0.52,0.1045,55,84,summer,2011,July,10,0,Tuesday,1,Clear,139
0.38,0.3939,0.43,0.2239,78,273,winter,2012,January,12,0,Sunday,0,Clear,351
0.62,0.6212,0.41,0.0896,157,365,spring,2012,May,11,0,Saturday,0,Clear,522
0.52,0.5,0.94,0.1045,5,13,spring,2011,May,6,0,Sunday,0,Clear,18
0.02,0.0455,0.44,0.194,1,151,winter,2012,January,7,0,Wednesday,1,Clear,152
0.56,0.5303,0.52,0.2985,156,338,fall,2012,October,11,0,Sunday,0,Clear,494
0.42,0.4242,0.58,0.0,55,86,fall,2011,November,20,0,Saturday,0,Mist,141
0.5,0.4848,0.88,0.194,10,52,fall,2011,October,10,0,Thursday,1,Light Snow,62
0.2,0.197,0.93,0.194,1,15,winter,2011,February,23,0,Tuesday,1,Light Snow,16
0.64,0.6212,0.57,0.0896,49,168,fall,2011,September,11,0,Friday,1,Clear,217
0.52,0.5,0.77,0.2239,21,218,spring,2012,May,21,0,Wednesday,1,Clear,239
0.6,0.5909,0.73,0.194,53,241,spring,2011,May,16,0,Wednesday,1,Clear,294
0.3,0.2879,0.52,0.194,18,326,fall,2012,November,19,0,Thursday,1,Clear,344
0.66,0.6061,0.78,0.2239,19,431,spring,2012,May,7,0,Tuesday,1,Clear,450
0.32,0.2879,0.49,0.4179,3,106,winter,2012,February,22,0,Thursday,1,Clear,109
0.3,0.3333,0.7,0.0,4,346,fall,2012,December,7,0,Thursday,1,Mist,350
0.4,0.4091,0.66,0.0896,8,29,fall,2012,October,1,0,Friday,1,Clear,37
0.26,0.303,0.81,0.0,11,104,fall,2011,November,1,0,Sunday,0,Clear,115
0.4,0.4091,0.76,0.1045,11,302,winter,2012,January,19,0,Thursday,1,Mist,313
0.5,0.4848,0.59,0.0896,35,161,fall,2012,September,23,0,Saturday,0,Clear,196
0.2,0.2576,0.75,0.0,3,83,winter,2012,February,6,0,Tuesday,1,Clear,86
0.76,0.697,0.52,0.2836,87,512,summer,2011,September,17,0,Wednesday,1,Clear,599
0.52,0.5,0.68,0.0,4,135,spring,2012,June,6,0,Monday,1,Clear,139
0.44,0.4394,0.33,0.2836,38,116,winter,2011,March,19,0,Saturday,0,Clear,154
0.6,0.5455,0.88,0.1642,19,262,summer,2012,September,18,0,Tuesday,1,Mist,281
0.64,0.6212,0.53,0.194,48,121,spring,2012,May,21,0,Sunday,0,Mist,169
0.76,0.7273,0.66,0.2239,36,104,summer,2011,July,22,0,Monday,1,Clear,140
0.36,0.3636,0.81,0.1045,15,449,fall,2012,October,7,0,Wednesday,1,Clear,464
0.6,0.5909,0.73,0.1343,3,8,summer,2012,August,5,0,Sunday,0,Mist,11
0.14,0.2121,0.86,0.0,0,3,winter,2011,January,7,0,Sunday,0,Clear,3
0.58,0.5455,0.83,0.194,55,398,spring,2011,May,18,0,Monday,1,Light Snow,453
0.2,0.2576,0.8,0.0,0,3,winter,2011,February,2,0,Monday,1,Clear,3
0.78,0.7424,0.59,0.1343,34,372,spring,2011,May,8,0,Tuesday,1,Clear,406
0.62,0.6212,0.53,0.0,17,90,spring,2011,June,23,0,Wednesday,1,Clear,107
0.3,0.2879,0.61,0.2239,21,625,fall,2012,November,8,0,Thursday,1,Mist,646
0.56,0.5303,0.37,0.2239,38,121,spring,2011,April,13,0,Thursday,1,Clear,159
0.24,0.2879,0.75,0.0,7,45,winter,2011,February,15,0,Tuesday,1,Mist,52
0.22,0.2121,0.87,0.2537,9,34,fall,2011,October,1,0,Sunday,0,Clear,43
0.3,0.3182,0.93,0.0896,1,89,fall,2011,December,6,0,Monday,1,Clear,90
0.48,0.4697,0.51,0.4478,31,203,fall,2011,October,16,0,Thursday,1,Mist,234
0.72,0.6818,0.62,0.2836,143,314,summer,2012,August,11,0,Saturday,0,Mist,457
0.78,0.7424,0.59,0.1642,82,189,summer,2012,July,14,0,Monday,1,Mist,271
0.36,0.3636,0.81,0.1045,16,100,fall,2011,November,20,0,Sunday,0,Clear,116
0.62,0.6212,0.41,0.1642,65,155,winter,2012,March,11,0,Wednesday,1,Mist,220
0.34,0.303,0.71,0.3284,0,1,spring,2011,March,3,0,Monday,1,Mist,1
0.26,0.2576,0.6,0.1642,20,104,winter,2012,December,11,0,Monday,1,Mist,124
0.16,0.1818,0.86,0.1045,9,80,winter,2012,January,19,0,Sunday,0,Light Snow,89
0.84,0.7576,0.44,0.0,33,156,summer,2011,June,13,0,Tuesday,1,Clear,189
0.38,0.3939,0.43,0.2985,38,336,fall,2012,November,19,0,Friday,1,Mist,374
0.32,0.303,0.65,0.194,31,180,fall,2012,December,11,0,Friday,1,Clear,211
0.64,0.6061,0.73,0.2239,0,9,summer,2011,August,4,0,Thursday,1,Clear,9
0.66,0.5909,0.89,0.1642,48,87,spring,2011,May,23,0,Sunday,0,Clear,135
0.24,0.2273,0.7,0.2239,9,83,winter,2012,February,9,0,Sunday,0,Mist,92
0.8,0.7424,0.49,0.8507,181,177,summer,2011,July,17,0,Sunday,0,Light Snow,358
0.16,0.1818,0.86,0.1045,0,68,fall,2011,December,6,0,Monday,1,Clear,68
0.68,0.6364,0.74,0.2836,29,119,spring,2011,April,14,0,Wednesday,1,Clear,148
0.18,0.1364,0.37,0.4478,4,79,winter,2011,January,12,0,Sunday,0,Clear,83
0.3,0.2424,0.61,0.2537,7,90,winter,2012,December,19,0,Saturday,0,Mist,97
0.62,0.5758,0.83,0.3881,0,13,spring,2011,April,5,0,Thursday,1,Mist,13
0.34,0.3182,0.46,0.2537,9,115,fall,2011,December,11,0,Tuesday,1,Clear,124
0.56,0.5303,0.83,0.1045,78,153,spring,2011,May,19,0,Sunday,0,Clear,231
0.36,0.3333,0.29,0.3582,11,25,spring,2012,April,2,0,Saturday,0,Clear,36
0.42,0.4242,0.88,0.2239,1,45,fall,2011,November,22,0,Wednesday,1,Light Snow,46
0.36,0.3485,0.81,0.1642,1,3,fall,2011,November,2,0,Tuesday,1,Mist,4
0.72,0.6667,0.58,0.194,22,142,spring,2012,June,22,0,Monday,1,Mist,164
0.7,0.6667,0.84,0.2985,3,15,summer,2011,August,6,0,Saturday,0,Mist,18
0.62,0.6061,0.65,0.194,42,68,summer,2011,July,0,0,Saturday,0,Clear,110
0.72,0.6515,0.38,0.1045,3,12,spring,2011,June,1,0,Thursday,1,Clear,15
0.68,0.6364,0.89,0.0896,8,9,spring,2011,May,1,0,Tuesday,1,Clear,17
0.66,0.6212,0.61,0.2537,106,699,summer,2012,September,18,0,Friday,1,Clear,805
0.44,0.4394,0.82,0.2239,3,2,spring,2011,March,3,0,Tuesday,1,Clear,5
0.14,0.1515,0.5,0.1642,0,5,winter,2012,January,1,0,Thursday,1,Clear,5
0.24,0.2121,0.48,0.3582,9,51,winter,2012,December,19,0,Saturday,0,Clear,60
0.24,0.2273,0.75,0.2239,14,243,winter,2012,January,7,0,Wednesday,1,Clear,257
0.6,0.6061,0.64,0.194,59,305,spring,2011,May,19,0,Thursday,1,Mist,364
0.32,0.303,0.45,0.2537,10,285,fall,2011,December,18,0,Friday,1,Mist,295
0.7,0.6515,0.54,0.2239,18,318,summer,2011,June,7,0,Wednesday,1,Clear,336
0.3,0.303,0.56,0.1343,34,115,fall,2012,November,8,0,Sunday,0,Clear,149
0.6,0.5606,0.83,0.0,21,100,spring,2012,May,23,0,Thursday,1,Clear,121
0.38,0.3939,0.76,0.3284,10,66,winter,2011,February,15,0,Wednesday,1,Clear,76
0.32,0.303,0.49,0.2836,71,147,winter,2012,March,10,0,Sunday,0,Clear,218
0.52,0.5,0.39,0.3582,109,198,spring,2012,March,15,0,Thursday,1,Clear,307
0.34,0.3485,0.81,0.1045,6,84,winter,2012,January,10,0,Thursday,1,Clear,90
0.7,0.6515,0.58,0.2836,205,236,spring,2011,April,13,0,Sunday,0,Clear,441
0.32,0.3485,0.81,0.0,3,108,winter,2012,February,22,0,Thursday,1,Mist,111
0.7,0.6364,0.42,0.2239,81,267,summer,2011,July,20,0,Thursday,1,Clear,348
0.68,0.6364,0.61,0.2239,56,260,fall,2012,September,12,0,Wednesday,1,Clear,316
0.44,0.4394,0.3,0.1642,0,3,spring,2012,April,3,0,Monday,1,Clear,3
0.44,0.4394,0.94,0.0,0,31,winter,2012,March,5,0,Monday,1,Clear,31
0.52,0.5,0.88,0.0,0,20,fall,2011,October,5,0,Tuesday,1,Mist,20
0.62,0.5758,0.83,0.2836,30,231,summer,2012,August,20,0,Monday,1,Mist,261
0.2,0.1818,0.8,0.2985,5,113,winter,2012,January,16,0,Saturday,0,Mist,118
0.66,0.6061,0.78,0.4179,166,375,summer,2012,August,13,0,Sunday,0,Light Snow,541
0.44,0.4394,0.33,0.2537,26,254,spring,2012,April,20,0,Thursday,1,Clear,280
0.44,0.4394,0.54,0.2239,29,155,fall,2011,October,20,0,Friday,1,Mist,184
0.78,0.7121,0.52,0.1642,19,26,summer,2011,July,0,0,Wednesday,1,Mist,45
0.32,0.2879,0.7,0.3582,11,162,spring,2011,April,9,0,Friday,1,Clear,173
0.2,0.197,0.8,0.194,6,113,winter,2012,January,15,0,Saturday,0,Light Snow,119
0.48,0.4697,0.88,0.0,52,90,fall,2011,October,23,0,Saturday,0,Clear,142
0.6,0.5152,0.94,0.2537,2,11,summer,2012,September,0,0,Tuesday,1,Light Snow,13
0.62,0.6061,0.69,0.194,102,202,spring,2012,March,15,0,Thursday,1,Clear,304
0.9,0.8788,0.47,0.2537,62,151,summer,2012,July,14,0,Thursday,1,Clear,213
0.72,0.6667,0.54,0.0,0,5,summer,2011,July,3,0,Thursday,1,Clear,5
0.26,0.2424,0.48,0.2836,16,543,winter,2012,February,8,0,Tuesday,1,Clear,559
0.2,0.2273,0.59,0.0896,0,5,winter,2012,January,4,0,Thursday,1,Mist,5
0.34,0.3485,0.61,0.1045,23,262,fall,2012,November,20,0,Thursday,1,Clear,285
0.36,0.3333,0.4,0.4179,14,48,spring,2012,April,23,0,Tuesday,1,Clear,62
0.36,0.3485,0.87,0.194,3,88,winter,2012,February,6,0,Thursday,1,Clear,91
0.66,0.6212,0.74,0.1343,5,21,summer,2011,July,5,0,Monday,1,Clear,26
0.42,0.4242,0.71,0.1045,22,142,winter,2012,January,15,0,Thursday,1,Mist,164
0.8,0.7424,0.49,0.1642,11,32,summer,2011,August,0,0,Wednesday,1,Mist,43
0.62,0.5455,0.94,0.0,29,326,fall,2011,September,8,0,Monday,1,Mist,355
0.56,0.5303,0.64,0.2985,0,36,winter,2011,February,12,0,Monday,1,Mist,36
0.38,0.3939,0.62,0.1642,26,80,fall,2011,November,22,0,Saturday,0,Mist,106
0.86,0.7273,0.25,0.2239,100,597,summer,2012,June,18,0,Thursday,1,Clear,697
0.78,0.7424,0.62,0.0,157,235,summer,2012,September,19,0,Saturday,0,Light Snow,392
0.02,0.0152,0.48,0.2985,0,3,winter,2011,January,4,0,Saturday,0,Mist,3
0.32,0.2879,0.57,0.4179,4,108,winter,2011,January,19,0,Wednesday,1,Clear,112
0.28,0.3182,0.75,0.0,5,16,winter,2012,January,1,0,Thursday,1,Mist,21
0.74,0.7273,0.74,0.0896,48,229,summer,2011,July,20,0,Tuesday,1,Clear,277
0.42,0.4242,0.67,0.2239,187,258,spring,2012,April,12,0,Sunday,0,Mist,445
0.56,0.5303,0.35,0.2985,49,551,winter,2012,March,17,0,Thursday,1,Clear,600
0.52,0.5,0.36,0.3284,67,321,spring,2012,March,16,0,Thursday,1,Clear,388
0.7,0.6515,0.65,0.2537,85,233,summer,2011,September,10,0,Saturday,0,Clear,318
0.56,0.5303,1.0,0.1642,8,132,fall,2011,October,18,0,Wednesday,1,Light Snow,140
0.86,0.7879,0.44,0.0896,133,217,spring,2011,May,13,1,Monday,0,Clear,350
0.52,0.5,0.83,0.0,10,80,winter,2012,March,23,0,Tuesday,1,Clear,90
0.3,0.303,0.49,0.1343,72,150,winter,2012,December,12,0,Friday,1,Mist,222
0.36,0.3333,0.46,0.3284,10,348,spring,2012,March,7,0,Wednesday,1,Clear,358
0.68,0.6364,0.79,0.2836,1,2,spring,2012,May,3,0,Tuesday,1,Clear,3
0.38,0.3939,0.94,0.1642,6,266,fall,2011,November,7,0,Thursday,1,Mist,272
0.36,0.3485,0.23,0.194,8,399,winter,2012,February,17,0,Monday,1,Clear,407
0.36,0.3333,0.46,0.2537,14,135,fall,2012,November,22,0,Friday,1,Clear,149
0.44,0.4394,0.62,0.0,6,9,spring,2011,April,1,1,Friday,0,Clear,15
0.52,0.5,0.52,0.2836,63,280,spring,2011,April,17,0,Thursday,1,Clear,343
0.18,0.2424,0.86,0.0,2,49,winter,2011,February,11,0,Tuesday,1,Mist,51
0.24,0.2424,0.87,0.1343,13,84,winter,2012,January,10,0,Wednesday,1,Mist,97
0.8,0.697,0.26,0.2537,79,334,summer,2011,August,19,0,Wednesday,1,Clear,413
0.4,0.4091,0.5,0.2239,1,5,spring,2011,April,0,0,Monday,1,Clear,6
0.54,0.5152,0.88,0.2239,25,76,fall,2011,October,13,0,Wednesday,1,Light Snow,101
0.46,0.4545,0.31,0.3582,50,236,spring,2012,April,9,0,Monday,1,Clear,286
0.62,0.6061,0.65,0.4179,83,521,spring,2011,May,17,0,Tuesday,1,Clear,604
0.7,0.6667,0.74,0.2836,68,385,spring,2011,May,18,0,Monday,1,Clear,453
0.46,0.4545,0.88,0.0896,0,2,winter,2012,March,3,0,Monday,1,Clear,2
0.4,0.4091,0.37,0.2985,20,73,winter,2011,March,21,0,Saturday,0,Clear,93
0.36,0.3485,0.71,0.2239,19,192,fall,2011,November,19,0,Thursday,1,Mist,211
0.46,0.4545,1.0,0.2239,0,3,fall,2011,December,3,0,Wednesday,1,Light Snow,3
0.7,0.6667,0.79,0.2239,30,62,summer,2011,August,8,0,Sunday,0,Clear,92
0.64,0.6061,0.69,0.0,21,155,summer,2011,September,9,0,Monday,1,Clear,176
0.18,0.197,0.74,0.1343,6,222,winter,2011,March,8,0,Friday,1,Clear,228
0.76,0.697,0.55,0.0896,63,114,summer,2011,July,23,0,Saturday,0,Clear,177
0.3,0.2727,0.64,0.2836,0,8,winter,2011,December,5,0,Tuesday,1,Mist,8
0.16,0.2273,0.93,0.0,3,132,winter,2011,February,8,0,Tuesday,1,Light Snow,135
