temp,atemp,hum,windspeed,casual,registered,cnt,season,yr,mnth,hr,holiday,workingday,weathersit,weekday
0.62,0.5455,0.94,0.1343,11,64,75,fall,2011,September,23,0,1,Clear,Monday
0.28,0.2576,0.41,0.2985,15,99,114,winter,2012,December,17,0,0,Clear,Saturday
0.46,0.4545,0.82,0.0896,4,105,109,fall,2011,October,6,0,1,Clear,Tuesday
0.82,0.7727,0.52,0.1343,77,223,300,summer,2012,July,21,0,1,Clear,Friday
0.7,0.6667,0.74,0.1343,1,15,16,summer,2012,July,2,0,1,Clear,Tuesday
0.54,0.5152,0.94,0.1343,42,115,157,spring,2011,May,20,0,0,Light Snow,Saturday
0.12,0.1061,0.33,0.3284,3,9,12,winter,2011,February,23,0,1,Clear,Tuesday
0.58,0.5455,0.46,0.2836,7,193,200,summer,2012,June,6,0,1,Clear,Wednesday
0.26,0.2273,0.48,0.3284,13,105,118,winter,2012,December,10,0,0,Clear,Saturday
0.58,0.5455,0.56,0.0,30,195,225,fall,2011,September,21,0,1,Clear,Thursday
0.16,0.1364,0.74,0.2836,9,120,129,winter,2012,January,10,0,0,Mist,Sunday
0.56,0.5303,0.46,0.1642,12,514,526,winter,2012,February,18,0,1,Clear,Wednesday
0.62,0.5909,0.78,0.2537,30,144,174,spring,2012,May,10,0,1,Clear,Tuesday
0.5,0.4848,0.88,0.194,26,361,387,spring,2011,May,8,0,1,Mist,Friday
0.32,0.2879,0.57,0.3881,8,71,79,winter,2011,February,11,0,1,Mist,Thursday
0.2,0.1667,0.86,0.4627,0,10,10,winter,2012,December,11,0,1,Light Snow,Wednesday
0.32,0.3333,0.57,0.1343,38,159,197,winter,2011,December,12,0,1,Clear,Friday
0.52,0.5,0.88,0.1642,39,359,398,spring,2011,May,18,0,1,Light Snow,Friday
0.22,0.2121,0.55,0.2239,0,48,48,winter,2011,January,21,0,1,Mist,Thursday
0.7,0.6364,0.37,0.4478,58,127,185,spring,2011,June,15,0,1,Clear,Monday
0.02,0.0606,0.62,0.1343,1,4,5,winter,2011,January,3,0,0,Clear,Sunday
0.7,0.6364,0.45,0.1642,191,253,444,spring,2011,May,18,0,0,Mist,Saturday
0.68,0.6364,0.41,0.2239,76,270,346,fall,2012,October,15,0,1,Clear,Tuesday
0.68,0.6364,0.44,0.3582,129,260,389,spring,2012,May,18,0,0,Mist,Sunday
0.28,0.2727,0.45,0.1642,5,63,68,winter,2011,January,11,0,1,Mist,Thursday
0.2,0.2576,0.51,0.0,0,6,6,winter,2012,December,5,0,0,Clear,Sunday
0.32,0.303,0.22,0.2239,15,65,80,spring,2011,March,14,0,1,Clear,Monday
0.44,0.4394,0.82,0.0896,1,120,121,winter,2012,March,6,0,1,Clear,Wednesday
0.32,0.303,0.49,0.2537,1,58,59,fall,2012,November,7,0,0,Mist,Saturday
0.44,0.4394,0.88,0.0896,104,217,321,winter,2012,March,9,0,0,Mist,Saturday
0.36,0.3788,0.87,0.0,85,116,201,spring,2011,April,15,0,0,Mist,Saturday
0.38,0.3939,0.4,0.4478,21,411,432,winter,2012,February,17,0,1,Clear,Tuesday
0.66,0.6212,0.61,0.2537,18,103,121,spring,2011,June,10,0,1,Mist,Thursday
0.32,0.303,0.49,0.2239,24,148,172,fall,2012,December,11,0,1,Mist,Wednesday
0.72,0.6667,0.54,0.194,7,10,17,summer,2011,August,1,0,1,Clear,Wednesday
0.8,0.697,0.29,0.2985,78,510,588,summer,2011,June,18,0,1,Clear,Wednesday
0.7,0.6515,0.54,0.194,56,515,571,summer,2011,September,18,0,1,Clear,Monday
0.54,0.5152,0.83,0.2836,0,2,2,spring,2011,May,3,0,1,Clear,Tuesday
0.7,0.6364,0.42,0.194,32,151,183,summer,2011,June,22,0,1,Clear,Wednesday
0.46,0.4545,0.94,0.1045,4,6,10,fall,2011,November,2,0,1,Mist,Wednesday
0.4,0.4091,0.87,0.1045,1,8,9,fall,2011,October,1,0,1,Mist,Tuesday
0.78,0.697,0.46,0.1343,104,201,305,summer,2012,August,15,0,1,Clear,Thursday
0.62,0.5909,0.78,0.1343,28,233,261,spring,2012,May,21,0,1,Clear,Tuesday
0.4,0.4091,0.5,0.0,17,575,592,spring,2012,April,8,0,1,Clear,Friday
0.54,0.5152,0.77,0.1642,1,25,26,spring,2012,May,5,0,1,Mist,Monday
0.42,0.4242,0.71,0.4478,1,7,8,fall,2012,December,1,0,1,Clear,Tuesday
0.4,0.4091,0.54,0.194,24,103,127,winter,2011,February,18,0,0,Clear,Sunday
0.22,0.2121,0.41,0.2985,4,46,50,spring,2011,March,6,0,1,Clear,Tuesday
0.54,0.5152,0.88,0.2836,3,21,24,summer,2011,September,14,0,1,Light Snow,Tuesday
0.66,0.6212,0.74,0.1045,13,41,54,summer,2011,August,0,0,1,Clear,Friday
0.58,0.5455,0.88,0.3284,31,413,444,spring,2011,April,8,0,1,Mist,Wednesday
0.6,0.5455,0.88,0.2537,10,248,258,summer,2011,August,7,0,1,Clear,Monday
0.62,0.6212,0.43,0.0896,51,170,221,spring,2012,March,16,0,1,Light Snow,Wednesday
0.62,0.6212,0.33,0.2985,308,370,678,spring,2012,April,13,0,0,Clear,Saturday
0.72,0.6667,0.54,0.194,57,231,288,fall,2012,October,12,0,1,Mist,Thursday
0.6,0.5,1.0,0.194,3,11,14,summer,2011,September,0,0,1,Light Snow,Thursday
0.6,0.5606,0.83,0.2537,5,119,124,summer,2011,September,6,0,1,Mist,Thursday
0.56,0.5303,0.35,0.2985,29,117,146,winter,2011,February,16,0,1,Mist,Thursday
0.36,0.3485,0.93,0.1343,21,66,87,spring,2011,April,22,0,0,Mist,Saturday
0.7,0.6667,0.74,0.0,48,354,402,summer,2012,August,9,0,1,Mist,Tuesday
0.56,0.5303,0.88,0.1045,4,5,9,spring,2011,May,1,0,1,Clear,Monday
0.66,0.6212,0.61,0.1045,66,216,282,summer,2012,August,12,0,1,Mist,Monday
0.38,0.3939,0.46,0.2239,0,11,11,spring,2012,April,1,0,1,Clear,Tuesday
0.72,0.6667,0.54,0.0,37,150,187,summer,2011,June,9,0,1,Mist,Monday
0.64,0.6212,0.36,0.4179,46,189,235,summer,2012,June,11,0,1,Clear,Tuesday
0.48,0.4697,0.59,0.4179,4,18,22,spring,2012,April,2,0,1,Clear,Friday
0.82,0.803,0.59,0.2239,39,115,154,summer,2011,July,21,0,0,Clear,Saturday
0.54,0.5152,0.6,0.2239,12,89,101,fall,2012,September,1,0,0,Clear,Saturday
0.64,0.6212,0.38,0.4478,101,733,834,spring,2012,June,17,0,1,Clear,Monday
0.6,0.5152,0.94,0.0,27,79,106,fall,2011,September,2,0,0,Light Snow,Sunday
0.54,0.5152,0.49,0.1343,73,237,310,fall,2012,October,13,0,1,Mist,Wednesday
0.42,0.4242,0.62,0.194,82,323,405,fall,2012,October,13,1,0,Mist,Monday
0.28,0.2727,0.48,0.194,8,129,137,fall,2011,November,20,0,1,Clear,Friday
0.84,0.803,0.53,0.0,40,299,339,summer,2012,July,9,0,1,Clear,Tuesday
0.6,0.5455,0.88,0.1343,1,22,23,spring,2012,June,22,0,1,Light Snow,Friday
0.72,0.6818,0.7,0.2985,76,240,316,spring,2012,June,13,0,1,Clear,Friday
0.3,0.3333,0.45,0.0,26,100,126,winter,2011,February,11,0,0,Clear,Saturday
0.68,0.6364,0.65,0.0,75,171,246,summer,2012,September,10,0,1,Mist,Friday
0.8,0.7576,0.55,0.3881,67,462,529,summer,2011,June,17,0,1,Mist,Wednesday
0.28,0.2727,0.65,0.194,10,23,33,spring,2011,April,6,0,0,Clear,Sunday
0.62,0.6061,0.61,0.2239,29,291,320,summer,2011,June,7,0,1,Clear,Thursday
0.24,0.2273,0.41,0.194,1,5,6,winter,2012,February,4,0,0,Clear,Sunday
0.52,0.5,0.68,0.2836,2,4,6,spring,2012,May,3,0,1,Mist,Tuesday
0.52,0.5,0.77,0.0896,29,198,227,fall,2011,October,9,0,1,Mist,Tuesday
0.28,0.2879,0.61,0.1343,2,14,16,fall,2012,November,6,0,0,Clear,Sunday
0.64,0.5758,0.89,0.1045,32,551,583,spring,2012,May,8,0,1,Mist,Friday
0.48,0.4697,0.44,0.0896,41,271,312,spring,2011,March,18,0,1,Clear,Tuesday
0.76,0.697,0.52,0.1045,55,84,139,summer,2011,July,10,0,1,Clear,Tuesday
0.38,0.3939,0.43,0.2239,78,273,351,winter,2012,January,12,0,0,Clear,Sunday
0.62,0.6212,0.41,0.0896,157,365,522,spring,2012,May,11,0,0,Clear,Saturday
0.52,0.5,0.94,0.1045,5,13,18,spring,2011,May,6,0,0,Clear,Sunday
0.02,0.0455,0.44,0.194,1,151,152,winter,2012,January,7,0,1,Clear,Wednesday
0.56,0.5303,0.52,0.2985,156,338,494,fall,2012,October,11,0,0,Clear,Sunday
0.42,0.4242,0.58,0.0,55,86,141,fall,2011,November,20,0,0,Mist,Saturday
0.5,0.4848,0.88,0.194,10,52,62,fall,2011,October,10,0,1,Light Snow,Thursday
0.2,0.197,0.93,0.194,1,15,16,winter,2011,February,23,0,1,Light Snow,Tuesday
0.64,0.6212,0.57,0.0896,49,168,217,fall,2011,September,11,0,1,Clear,Friday
0.52,0.5,0.77,0.2239,21,218,239,spring,2012,May,21,0,1,Clear,Wednesday
0.6,0.5909,0.73,0.194,53,241,294,spring,2011,May,16,0,1,Clear,Wednesday
0.3,0.2879,0.52,0.194,18,326,344,fall,2012,November,19,0,1,Clear,Thursday
0.66,0.6061,0.78,0.2239,19,431,450,spring,2012,May,7,0,1,Clear,Tuesday
0.32,0.2879,0.49,0.4179,3,106,109,winter,2012,February,22,0,1,Clear,Thursday
0.3,0.3333,0.7,0.0,4,346,350,fall,2012,December,7,0,1,Mist,Thursday
0.4,0.4091,0.66,0.0896,8,29,37,fall,2012,October,1,0,1,Clear,Friday
0.26,0.303,0.81,0.0,11,104,115,fall,2011,November,1,0,0,Clear,Sunday
0.4,0.4091,0.76,0.1045,11,302,313,winter,2012,January,19,0,1,Mist,Thursday
0.5,0.4848,0.59,0.0896,35,161,196,fall,2012,September,23,0,0,Clear,Saturday
0.2,0.2576,0.75,0.0,3,83,86,winter,2012,February,6,0,1,Clear,Tuesday
0.76,0.697,0.52,0.2836,87,512,599,summer,2011,September,17,0,1,Clear,Wednesday
0.52,0.5,0.68,0.0,4,135,139,spring,2012,June,6,0,1,Clear,Monday
0.44,0.4394,0.33,0.2836,38,116,154,winter,2011,March,19,0,0,Clear,Saturday
0.6,0.5455,0.88,0.1642,19,262,281,summer,2012,September,18,0,1,Mist,Tuesday
0.64,0.6212,0.53,0.194,48,121,169,spring,2012,May,21,0,0,Mist,Sunday
0.76,0.7273,0.66,0.2239,36,104,140,summer,2011,July,22,0,1,Clear,Monday
0.36,0.3636,0.81,0.1045,15,449,464,fall,2012,October,7,0,1,Clear,Wednesday
0.6,0.5909,0.73,0.1343,3,8,11,summer,2012,August,5,0,0,Mist,Sunday
0.14,0.2121,0.86,0.0,0,3,3,winter,2011,January,7,0,0,Clear,Sunday
0.58,0.5455,0.83,0.194,55,398,453,spring,2011,May,18,0,1,Light Snow,Monday
0.2,0.2576,0.8,0.0,0,3,3,winter,2011,February,2,0,1,Clear,Monday
0.78,0.7424,0.59,0.1343,34,372,406,spring,2011,May,8,0,1,Clear,Tuesday
0.62,0.6212,0.53,0.0,17,90,107,spring,2011,June,23,0,1,Clear,Wednesday
0.3,0.2879,0.61,0.2239,21,625,646,fall,2012,November,8,0,1,Mist,Thursday
0.56,0.5303,0.37,0.2239,38,121,159,spring,2011,April,13,0,1,Clear,Thursday
0.24,0.2879,0.75,0.0,7,45,52,winter,2011,February,15,0,1,Mist,Tuesday
0.22,0.2121,0.87,0.2537,9,34,43,fall,2011,October,1,0,0,Clear,Sunday
0.3,0.3182,0.93,0.0896,1,89,90,fall,2011,December,6,0,1,Clear,Monday
0.48,0.4697,0.51,0.4478,31,203,234,fall,2011,October,16,0,1,Mist,Thursday
0.72,0.6818,0.62,0.2836,143,314,457,summer,2012,August,11,0,0,Mist,Saturday
0.78,0.7424,0.59,0.1642,82,189,271,summer,2012,July,14,0,1,Mist,Monday
0.36,0.3636,0.81,0.1045,16,100,116,fall,2011,November,20,0,0,Clear,Sunday
0.62,0.6212,0.41,0.1642,65,155,220,winter,2012,March,11,0,1,Mist,Wednesday
0.34,0.303,0.71,0.3284,0,1,1,spring,2011,March,3,0,1,Mist,Monday
0.26,0.2576,0.6,0.1642,20,104,124,winter,2012,December,11,0,1,Mist,Monday
0.16,0.1818,0.86,0.1045,9,80,89,winter,2012,January,19,0,0,Light Snow,Sunday
0.84,0.7576,0.44,0.0,33,156,189,summer,2011,June,13,0,1,Clear,Tuesday
0.38,0.3939,0.43,0.2985,38,336,374,fall,2012,November,19,0,1,Mist,Friday
0.32,0.303,0.65,0.194,31,180,211,fall,2012,December,11,0,1,Clear,Friday
0.64,0.6061,0.73,0.2239,0,9,9,summer,2011,August,4,0,1,Clear,Thursday
0.66,0.5909,0.89,0.1642,48,87,135,spring,2011,May,23,0,0,Clear,Sunday
0.24,0.2273,0.7,0.2239,9,83,92,winter,2012,February,9,0,0,Mist,Sunday
0.8,0.7424,0.49,0.8507,181,177,358,summer,2011,July,17,0,0,Light Snow,Sunday
0.16,0.1818,0.86,0.1045,0,68,68,fall,2011,December,6,0,1,Clear,Monday
0.68,0.6364,0.74,0.2836,29,119,148,spring,2011,April,14,0,1,Clear,Wednesday
0.18,0.1364,0.37,0.4478,4,79,83,winter,2011,January,12,0,0,Clear,Sunday
0.3,0.2424,0.61,0.2537,7,90,97,winter,2012,December,19,0,0,Mist,Saturday
0.62,0.5758,0.83,0.3881,0,13,13,spring,2011,April,5,0,1,Mist,Thursday
0.34,0.3182,0.46,0.2537,9,115,124,fall,2011,December,11,0,1,Clear,Tuesday
0.56,0.5303,0.83,0.1045,78,153,231,spring,2011,May,19,0,0,Clear,Sunday
0.36,0.3333,0.29,0.3582,11,25,36,spring,2012,April,2,0,0,Clear,Saturday
0.42,0.4242,0.88,0.2239,1,45,46,fall,2011,November,22,0,1,Light Snow,Wednesday
0.36,0.3485,0.81,0.1642,1,3,4,fall,2011,November,2,0,1,Mist,Tuesday
0.72,0.6667,0.58,0.194,22,142,164,spring,2012,June,22,0,1,Mist,Monday
0.7,0.6667,0.84,0.2985,3,15,18,summer,2011,August,6,0,0,Mist,Saturday
0.62,0.6061,0.65,0.194,42,68,110,summer,2011,July,0,0,0,Clear,Saturday
0.72,0.6515,0.38,0.1045,3,12,15,spring,2011,June,1,0,1,Clear,Thursday
0.68,0.6364,0.89,0.0896,8,9,17,spring,2011,May,1,0,1,Clear,Tuesday
0.66,0.6212,0.61,0.2537,106,699,805,summer,2012,September,18,0,1,Clear,Friday
0.44,0.4394,0.82,0.2239,3,2,5,spring,2011,March,3,0,1,Clear,Tuesday
0.14,0.1515,0.5,0.1642,0,5,5,winter,2012,January,1,0,1,Clear,Thursday
0.24,0.2121,0.48,0.3582,9,51,60,winter,2012,December,19,0,0,Clear,Saturday
0.24,0.2273,0.75,0.2239,14,243,257,winter,2012,January,7,0,1,Clear,Wednesday
0.6,0.6061,0.64,0.194,59,305,364,spring,2011,May,19,0,1,Mist,Thursday
0.32,0.303,0.45,0.2537,10,285,295,fall,2011,December,18,0,1,Mist,Friday
0.7,0.6515,0.54,0.2239,18,318,336,summer,2011,June,7,0,1,Clear,Wednesday
0.3,0.303,0.56,0.1343,34,115,149,fall,2012,November,8,0,0,Clear,Sunday
0.6,0.5606,0.83,0.0,21,100,121,spring,2012,May,23,0,1,Clear,Thursday
0.38,0.3939,0.76,0.3284,10,66,76,winter,2011,February,15,0,1,Clear,Wednesday
0.32,0.303,0.49,0.2836,71,147,218,winter,2012,March,10,0,0,Clear,Sunday
0.52,0.5,0.39,0.3582,109,198,307,spring,2012,March,15,0,1,Clear,Thursday
0.34,0.3485,0.81,0.1045,6,84,90,winter,2012,January,10,0,1,Clear,Thursday
0.7,0.6515,0.58,0.2836,205,236,441,spring,2011,April,13,0,0,Clear,Sunday
0.32,0.3485,0.81,0.0,3,108,111,winter,2012,February,22,0,1,Mist,Thursday
0.7,0.6364,0.42,0.2239,81,267,348,summer,2011,July,20,0,1,Clear,Thursday
0.68,0.6364,0.61,0.2239,56,260,316,fall,2012,September,12,0,1,Clear,Wednesday
0.44,0.4394,0.3,0.1642,0,3,3,spring,2012,April,3,0,1,Clear,Monday
0.44,0.4394,0.94,0.0,0,31,31,winter,2012,March,5,0,1,Clear,Monday
0.52,0.5,0.88,0.0,0,20,20,fall,2011,October,5,0,1,Mist,Tuesday
0.62,0.5758,0.83,0.2836,30,231,261,summer,2012,August,20,0,1,Mist,Monday
0.2,0.1818,0.8,0.2985,5,113,118,winter,2012,January,16,0,0,Mist,Saturday
0.66,0.6061,0.78,0.4179,166,375,541,summer,2012,August,13,0,0,Light Snow,Sunday
0.44,0.4394,0.33,0.2537,26,254,280,spring,2012,April,20,0,1,Clear,Thursday
0.44,0.4394,0.54,0.2239,29,155,184,fall,2011,October,20,0,1,Mist,Friday
0.78,0.7121,0.52,0.1642,19,26,45,summer,2011,July,0,0,1,Mist,Wednesday
0.32,0.2879,0.7,0.3582,11,162,173,spring,2011,April,9,0,1,Clear,Friday
0.2,0.197,0.8,0.194,6,113,119,winter,2012,January,15,0,0,Light Snow,Saturday
0.48,0.4697,0.88,0.0,52,90,142,fall,2011,October,23,0,0,Clear,Saturday
0.6,0.5152,0.94,0.2537,2,11,13,summer,2012,September,0,0,1,Light Snow,Tuesday
0.62,0.6061,0.69,0.194,102,202,304,spring,2012,March,15,0,1,Clear,Thursday
0.9,0.8788,0.47,0.2537,62,151,213,summer,2012,July,14,0,1,Clear,Thursday
0.72,0.6667,0.54,0.0,0,5,5,summer,2011,July,3,0,1,Clear,Thursday
0.26,0.2424,0.48,0.2836,16,543,559,winter,2012,February,8,0,1,Clear,Tuesday
0.2,0.2273,0.59,0.0896,0,5,5,winter,2012,January,4,0,1,Mist,Thursday
0.34,0.3485,0.61,0.1045,23,262,285,fall,2012,November,20,0,1,Clear,Thursday
0.36,0.3333,0.4,0.4179,14,48,62,spring,2012,April,23,0,1,Clear,Tuesday
0.36,0.3485,0.87,0.194,3,88,91,winter,2012,February,6,0,1,Clear,Thursday
0.66,0.6212,0.74,0.1343,5,21,26,summer,2011,July,5,0,1,Clear,Monday
0.42,0.4242,0.71,0.1045,22,142,164,winter,2012,January,15,0,1,Mist,Thursday
0.8,0.7424,0.49,0.1642,11,32,43,summer,2011,August,0,0,1,Mist,Wednesday
0.62,0.5455,0.94,0.0,29,326,355,fall,2011,September,8,0,1,Mist,Monday
0.56,0.5303,0.64,0.2985,0,36,36,winter,2011,February,12,0,1,Mist,Monday
0.38,0.3939,0.62,0.1642,26,80,106,fall,2011,November,22,0,0,Mist,Saturday
0.86,0.7273,0.25,0.2239,100,597,697,summer,2012,June,18,0,1,Clear,Thursday
0.78,0.7424,0.62,0.0,157,235,392,summer,2012,September,19,0,0,Light Snow,Saturday
0.02,0.0152,0.48,0.2985,0,3,3,winter,2011,January,4,0,0,Mist,Saturday
0.32,0.2879,0.57,0.4179,4,108,112,winter,2011,January,19,0,1,Clear,Wednesday
0.28,0.3182,0.75,0.0,5,16,21,winter,2012,January,1,0,1,Mist,Thursday
0.74,0.7273,0.74,0.0896,48,229,277,summer,2011,July,20,0,1,Clear,Tuesday
0.42,0.4242,0.67,0.2239,187,258,445,spring,2012,April,12,0,0,Mist,Sunday
0.56,0.5303,0.35,0.2985,49,551,600,winter,2012,March,17,0,1,Clear,Thursday
0.52,0.5,0.36,0.3284,67,321,388,spring,2012,March,16,0,1,Clear,Thursday
0.7,0.6515,0.65,0.2537,85,233,318,summer,2011,September,10,0,0,Clear,Saturday
0.56,0.5303,1.0,0.1642,8,132,140,fall,2011,October,18,0,1,Light Snow,Wednesday
0.86,0.7879,0.44,0.0896,133,217,350,spring,2011,May,13,1,0,Clear,Monday
0.52,0.5,0.83,0.0,10,80,90,winter,2012,March,23,0,1,Clear,Tuesday
0.3,0.303,0.49,0.1343,72,150,222,winter,2012,December,12,0,1,Mist,Friday
0.36,0.3333,0.46,0.3284,10,348,358,spring,2012,March,7,0,1,Clear,Wednesday
0.68,0.6364,0.79,0.2836,1,2,3,spring,2012,May,3,0,1,Clear,Tuesday
0.38,0.3939,0.94,0.1642,6,266,272,fall,2011,November,7,0,1,Mist,Thursday
0.36,0.3485,0.23,0.194,8,399,407,winter,2012,February,17,0,1,Clear,Monday
0.36,0.3333,0.46,0.2537,14,135,149,fall,2012,November,22,0,1,Clear,Friday
0.44,0.4394,0.62,0.0,6,9,15,spring,2011,April,1,1,0,Clear,Friday
0.52,0.5,0.52,0.2836,63,280,343,spring,2011,April,17,0,1,Clear,Thursday
0.18,0.2424,0.86,0.0,2,49,51,winter,2011,February,11,0,1,Mist,Tuesday
0.24,0.2424,0.87,0.1343,13,84,97,winter,2012,January,10,0,1,Mist,Wednesday
0.8,0.697,0.26,0.2537,79,334,413,summer,2011,August,19,0,1,Clear,Wednesday
0.4,0.4091,0.5,0.2239,1,5,6,spring,2011,April,0,0,1,Clear,Monday
0.54,0.5152,0.88,0.2239,25,76,101,fall,2011,October,13,0,1,Light Snow,Wednesday
0.46,0.4545,0.31,0.3582,50,236,286,spring,2012,April,9,0,1,Clear,Monday
0.62,0.6061,0.65,0.4179,83,521,604,spring,2011,May,17,0,1,Clear,Tuesday
0.7,0.6667,0.74,0.2836,68,385,453,spring,2011,May,18,0,1,Clear,Monday
0.46,0.4545,0.88,0.0896,0,2,2,winter,2012,March,3,0,1,Clear,Monday
0.4,0.4091,0.37,0.2985,20,73,93,winter,2011,March,21,0,0,Clear,Saturday
0.36,0.3485,0.71,0.2239,19,192,211,fall,2011,November,19,0,1,Mist,Thursday
0.46,0.4545,1.0,0.2239,0,3,3,fall,2011,December,3,0,1,Light Snow,Wednesday
0.7,0.6667,0.79,0.2239,30,62,92,summer,2011,August,8,0,0,Clear,Sunday
0.64,0.6061,0.69,0.0,21,155,176,summer,2011,September,9,0,1,Clear,Monday
0.18,0.197,0.74,0.1343,6,222,228,winter,2011,March,8,0,1,Clear,Friday
0.76,0.697,0.55,0.0896,63,114,177,summer,2011,July,23,0,0,Clear,Saturday
0.3,0.2727,0.64,0.2836,0,8,8,winter,2011,December,5,0,1,Mist,Tuesday
0.16,0.2273,0.93,0.0,3,132,135,winter,2011,February,8,0,1,Light Snow,Tuesday
